qseqid	NV001	NV002	NV003	NV004	NV005	NV006	NV007	NV008	NV009	NT010
6b23e6bc0fbe2cde18b5d2d17335f54157a629fb	0	0	0	0	0	0	0	0	426	0
282a4068f53f33244f372079ce7634af48ff32dc	520	0	0	0	0	0	0	170	0	0
fcf6642261e836a14d1e996e9d19f5b5d5d633f9	235	0	6	158	0	329	20	16	95	89
90774b6411d6f8af6bb92a122bc5a5c42f661f8c	1497	0	0	0	0	0	0	60	0	0
efa49da6c35317a5fb9d9551e631656448ac4a0e	0	0	0	3705	0	0	0	0	0	1222
1b247938f45848d8761666c36ca6d73b3fccd049	96	0	0	0	0	0	0	0	181	0
771887cd811081f10521daf25c8f7a96906af63e	0	0	0	0	0	0	0	175	0	0
dd01c0d5c7446aa55244831d3dbf958fefc7ea29	0	0	0	0	0	0	0	0	0	0
2327353461c7b35779bf54363646aa847a01e7d3	0	0	0	0	0	0	0	0	0	0
be5255f9fb42b64df755d7ac2a169e1da5073d48	801	0	0	50	47	0	0	98	246	1069
f3d6776aee2825dc927ec1964a2f2c09592de8c6	316	0	0	0	18	0	0	54	0	0
fe05dbaf9be1b8aef79ecc03c454cbacba3f345c	0	0	0	0	0	0	0	0	0	0
35126d90a82ed85aa674a6c3c2508938c62b155b	0	0	0	0	0	0	0	0	18189	0
84b20b64ed622cdafb08ecda23795f03e15917d9	0	0	4	1054	0	471	27	0	0	0
39efbae3f448393c8795c2ee920ab1041e947c37	59	602	116	262	114	540	486	491	0	98
dda4a9f2b4689962c88e000fbe06b19c7b648d4a	0	1439	0	0	3	0	1026	0	0	0
2b98305e308134ec52229d7ce560323e1c26a179	0	0	0	0	0	0	0	0	177	0
c6d3e4fa7302fa74a4c12cfc2a9f76b06044b40e	0	0	0	0	22	0	0	0	0	0
b3e9599cb1ef165d0b5124fc1bbb03e0eb39a488	0	0	0	0	0	0	0	0	0	0
46a23274b546988769f2e28dc88bc15abdf5c619	0	89	0	2739	15	1126	229	0	0	0
6690606e1c8ad80ef57ed02d786512bad7608ff1	0	0	0	0	0	0	0	0	0	0
0f1a7c9c1b311f2e5930544623018598cc9e05f7	0	0	0	0	0	0	0	0	0	0
3be3cd6256fcc8741575b9621783eee6ef41286d	0	0	0	0	0	0	0	0	0	0
77bd35530c2c8408d23b3525908526794b09055d	206	0	0	36	0	5	0	0	9	0
ef9b606b58543ed8319aa0ce2b4ebae25b92d719	0	0	0	831	0	171	0	0	0	0
02d9167bbc964d159357f2dedbd095495a264b25	6	0	0	0	0	0	0	896	0	0
4ade8554168d34f6d83d0a7d102c0acb3c4f5d14	0	0	0	0	0	0	0	0	0	5
013f5ce0c9f71560aec861c971cebade1ef30049	0	0	0	0	0	0	0	0	0	0
2b67714d43ae8e5e56b416f5e9a84bbd86601959	0	0	0	0	0	0	0	0	0	0
38655baaa1f7d61f7931bc70186f9abdad122c8d	0	0	0	0	0	0	2	0	0	0
