qseqid	NV001	NV002	NV003	NV004	NV005	NV006	NV007	NV008	NV009	NT010	NT011	NT012	NT013	NT014	NT015	NT016	NT017	NT018	NH019	NH020	NH021	NH022	NH023	NH024	NH025	NH026	VU027	VU028	VU029	VU030	VU031	VU032	VU033	VU034	VU035	VO036	VO037	VO038	VO039	VO040	VO041	VO042	VO043	VD044	VD045	VD046	VD047	VD048	VD049	VD050	VD051	VD052	EM053	EM054	EM055	EM056	EM057	EM058	EM059	EM060	EM061	ES062	ES063	ES064	ES065	ES066	ES067	ES068	ES069	ES070	EV071	EV072	EV073	EV074	EV075	EV076	EV077	EV078	SN079	SN080	SN081	SN082	SN083	SN084	SN085	SN086	SN087	SV088	SV089	SV090	SV091	SV092	SV093	SV094	SV095	SM096	SM097	SM098	SM099	SM100	SM101	SM102	SM103	SM104	FF105	FF106	FF107	FF108	FF109	FF110	FF111	FF112	FL113	FL114	FL115	FL116	FL117	FL118	FL119	FL120	FM121	FM122	FM123	FM124	FM125	FM126	FM127	FM128	FM129	FM130
6b23e6bc0fbe2cde18b5d2d17335f54157a629fb	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	15501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	865	0	0	0	0	0	0	0	0	0	0	0	0	0	664	0	0	0	0	94	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282a4068f53f33244f372079ce7634af48ff32dc	520	0	0	0	0	0	0	170	0	0	74	140	0	0	0	0	0	0	0	0	0	0	13	0	0	0	290	0	0	8	0	0	170	0	0	0	0	0	41	0	2	0	14	30	163	0	17	0	8	10	0	169	0	0	0	0	94	0	0	0	0	188	12	0	0	13	5	103	0	0	0	0	42	0	0	0	0	78	0	0	0	0	12	0	0	0	193	1236	429	0	0	0	10940	0	0	0	0	0	331	96	0	0	0	0	19	0	0	0	0	1232	723	738	0	24	0	67	0	5	19	0	0	0	123	0	0	0	0	0	0	10
fcf6642261e836a14d1e996e9d19f5b5d5d633f9	235	0	6	158	0	329	20	16	95	89	24	703	93	137	124	3861	129	1454	296	99	1916	46	488	93	207	387	252	22	463	187	39	14	134	6677	159	0	14	339	798	4183	13	51	606	680	471	999	454	1219	4339	342	26	152	1451	21	42	504	1118	0	3922	579	14	90	0	402	2401	171	297	73	154	58	1422	322	2529	8	3979	1418	593	1659	36	229	2101	480	5	0	251	113	1312	881	322	2038	8	0	1116	27	282	670	4104	381	68	87	0	17	0	0	3164	3316	2352	9	668	372	6	257	871	720	432	140	3	0	860	0	162	3	887	0	18	530	56	0	82	282
90774b6411d6f8af6bb92a122bc5a5c42f661f8c	1497	0	0	0	0	0	0	60	0	0	8635	388	116	6036	10561	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	5325	0	0	0	0	0	0	0	0	0	0	0	756	0	74	58	0	0	0	0	0	0	4	0	0	4	0	186	0	0	0	0	18537	0	0	0	0	1498	1137	0	0	0	0	0	0	0	0	0	0	4995	115	0	0	0	0	0	0	0	0	156	0	0	0	2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efa49da6c35317a5fb9d9551e631656448ac4a0e	0	0	0	3705	0	0	0	0	0	1222	0	0	0	0	0	0	0	0	1217	0	0	0	242	420	5	0	0	0	843	0	53	4	0	0	0	176	0	1355	0	308	0	0	0	0	0	17	0	0	0	0	606	0	321	14446	372	31	0	373	489	519	0	0	0	111	0	118	0	0	0	0	217	42	0	66	0	0	0	0	0	0	0	484	0	0	222	0	0	963	2936	0	501	3130	0	1587	2302	483	0	295	0	18	41	4785	5584	2349	0	0	412	0	0	0	0	0	0	0	9045	235	44	0	49	2213	184	0	0	3578	316	922	159	331	807	0
1b247938f45848d8761666c36ca6d73b3fccd049	96	0	0	0	0	0	0	0	181	0	0	2331	295	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3205	0	0	0	0	0	0	411	0	0	0	0	0	0	0	109	25152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2092	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
771887cd811081f10521daf25c8f7a96906af63e	0	0	0	0	0	0	0	175	0	0	37	485	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	2738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	2186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	874	327	884	0	0	0	0	0	0	3562	0	0	0	9538	0	0	0	0	0	0	0
dd01c0d5c7446aa55244831d3dbf958fefc7ea29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	495	193	36	70	718	13	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	49	654	964	287	34	623	177	0	0	8	139	0	0	0	0	3	0	0	0	0	0	0	0	223	97	68	121	0	4	0	51	0	21	0	0	199	54	74	32	0	0	42	0	0	0	0	0	0	0	0	0	316	330	51	82	0	0	0	69	7688	0	146	0	0	3	0	0	6	412	0	3	0	0	0	0	120	0	0	0	0	101	0	0	0	109
2327353461c7b35779bf54363646aa847a01e7d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4429	1673	0	0	0	1251	0	0	0	0	0	0	0	753	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	142	0	0	0	0	0	0	0	0	0	0	366	4873	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0
be5255f9fb42b64df755d7ac2a169e1da5073d48	801	0	0	50	47	0	0	98	246	1069	258	505	95	295	205	990	536	1937	254	388	348	110	137	109	62	285	392	12	817	1487	11	0	1540	4258	295	0	43	0	435	1384	0	264	3166	1768	564	747	203	216	2016	60	0	1995	865	0	144	427	1226	0	527	206	0	84	3	1901	513	166	1198	670	996	407	147	0	4717	0	3238	965	1885	2450	205	213	3208	336	0	0	24	1241	1623	887	653	231	420	0	1369	0	0	12	1444	732	176	960	12	0	0	0	1442	2405	1469	0	1814	379	33	180	2202	1281	0	326	13	12	3339	0	350	22	495	0	0	485	0	0	0	2483
